bulk_id,facet,slab_id
cg8p7fxq65,001,fofohiha_18
cg8p7fxq65,101,bunobaku_45
cg8p7fxq65,314,govahete_59
cg8p7fxq65,111,veworipi_22
75bdvivym1,011,nanigumi_76
75bdvivym1,110,wapumilo_64
75bdvivym1,010,kebedupu_53
75bdvivym1,100,lidunute_10
75bdvivym1,214,legetava_39
75bdvivym1,001,basosimi_26
75bdvivym1,101,rigiwive_95
75bdvivym1,314,kivatido_91
75bdvivym1,111,lutopide_65
82bucfb28a,011,nunotame_06
82bucfb28a,110,hafikite_68
82bucfb28a,010,melewetu_58
82bucfb28a,100,wevusera_85
82bucfb28a,001,vobolasa_31
82bucfb28a,101,nediparu_75
82bucfb28a,111,rudeboro_36
7ic1vt7pz4,011,sidasove_30
7ic1vt7pz4,110,rebuvige_88
7ic1vt7pz4,010,bidoripi_03
7ic1vt7pz4,100,fudinako_11
7ic1vt7pz4,001,rusebavi_82
7ic1vt7pz4,101,fehudeku_90
7ic1vt7pz4,111,tofebave_45
nrml6dms9l,011,lukeroru_18
nrml6dms9l,110,relemoka_19
nrml6dms9l,010,homebasa_19
nrml6dms9l,100,luvavivo_09
nrml6dms9l,001,molafabi_30
nrml6dms9l,101,kopitara_25
nrml6dms9l,111,visirufi_45
vi83m1vkxe,011,puhomefe_40
vi83m1vkxe,110,tegifapo_72
vi83m1vkxe,010,pufababa_58
vi83m1vkxe,100,vuhibube_19
vi83m1vkxe,214,talihefo_34
vi83m1vkxe,001,pewegiga_96
vi83m1vkxe,101,wibihemo_75
vi83m1vkxe,314,tikodiku_62
vi83m1vkxe,111,hawubafu_66
zgxg9o7kny,011,tewekevi_24
zgxg9o7kny,110,fagomofa_70
zgxg9o7kny,010,giranure_57
zgxg9o7kny,100,famakele_51
zgxg9o7kny,214,tokipave_60
zgxg9o7kny,001,hotosemo_50
zgxg9o7kny,101,winitemi_22
zgxg9o7kny,111,puhaleri_99
njntmu9w93,011,vuvodivi_97
njntmu9w93,110,nowepifi_12
njntmu9w93,010,dowepeba_14
njntmu9w93,100,gevaruhi_30
njntmu9w93,214,pawelohe_79
njntmu9w93,001,voneteme_33
njntmu9w93,101,wumeleki_73
njntmu9w93,314,vutehila_76
njntmu9w93,111,fuhegaba_72
v2xdzuv2z3,011,hovegumo_38
v2xdzuv2z3,110,wohakuse_57
v2xdzuv2z3,010,sonasira_55
v2xdzuv2z3,100,lavuhato_66
v2xdzuv2z3,214,burafela_29
v2xdzuv2z3,001,vigohisi_82
v2xdzuv2z3,101,dafafehu_72
v2xdzuv2z3,314,lelavopu_41
v2xdzuv2z3,111,nadegele_11
81meck64ba,011,parigado_48
81meck64ba,110,fagumoha_68
81meck64ba,010,viretedo_56
81meck64ba,100,modakufe_24
81meck64ba,214,natalida_30
81meck64ba,001,hesamina_63
81meck64ba,101,titiwewe_76
81meck64ba,314,mawunohu_23
81meck64ba,111,sifebelo_94
xfvhck9gcs,110,sevetika_83
xfvhck9gcs,010,regenewo_35
xfvhck9gcs,100,hikagitu_25
xfvhck9gcs,001,telibose_95
xfvhck9gcs,101,kupepito_69
xfvhck9gcs,111,tefalibo_95
ck638t75z3,011,wesaburu_95
ck638t75z3,110,behifuna_56
ck638t75z3,010,wodosuvo_30
ck638t75z3,100,kukesese_26
ck638t75z3,001,batipoha_75
ck638t75z3,101,nugokese_86
ck638t75z3,111,nefumebi_12
8qzamrb4m2,011,tadepile_81
8qzamrb4m2,110,pufikugi_02
8qzamrb4m2,010,pututisu_63
8qzamrb4m2,100,pohukega_80
8qzamrb4m2,214,beguwoda_07
8qzamrb4m2,001,rimuriwu_38
8qzamrb4m2,101,sumiwigu_17
8qzamrb4m2,111,lepalire_71
mp6lno9jzr,011,baromepo_15
mp6lno9jzr,110,potafira_03
mp6lno9jzr,010,kipidola_08
mp6lno9jzr,100,duwirifo_56
mp6lno9jzr,214,waravure_51
mp6lno9jzr,001,dehimuka_15
mp6lno9jzr,101,fugiseli_49
mp6lno9jzr,314,holuvulo_53
mp6lno9jzr,111,giwisamu_59
8kvd8qnim4,011,wumuwasi_61
8kvd8qnim4,110,mihudohe_62
8kvd8qnim4,010,lolebako_37
8kvd8qnim4,100,dobofeso_85
8kvd8qnim4,214,nelibovu_78
8kvd8qnim4,001,mavufola_33
8kvd8qnim4,101,kubanedo_12
8kvd8qnim4,314,segudavo_55
8kvd8qnim4,111,hovogina_81
zwvqnhbk7f,011,bemakado_71
zwvqnhbk7f,110,birikaku_81
zwvqnhbk7f,010,tagediso_07
zwvqnhbk7f,100,tunubapa_15
zwvqnhbk7f,214,wupedahi_19
zwvqnhbk7f,001,logokigu_73
zwvqnhbk7f,101,lipigago_80
zwvqnhbk7f,111,lunureto_84
8p937183bh,011,lepinela_85
8p937183bh,110,lusevago_15
8p937183bh,010,sesiguva_21
8p937183bh,100,pegapesa_22
8p937183bh,214,latahuvo_93
8p937183bh,001,lulofola_19
8p937183bh,101,rogonike_64
8p937183bh,314,fusufage_61
8p937183bh,111,tonipibo_76
xlziv2zr9g,011,tidisopa_78
xlziv2zr9g,110,mapelupo_41
xlziv2zr9g,010,begakura_66
xlziv2zr9g,100,sumogaha_76
xlziv2zr9g,214,huderupa_41
xlziv2zr9g,001,napurame_26
xlziv2zr9g,101,vikonuvo_50
xlziv2zr9g,111,galuwapu_86
bgcpc2vabf,011,vedabute_68
bgcpc2vabf,110,runovaho_44
bgcpc2vabf,010,nevupeto_41
bgcpc2vabf,100,fagobala_24
bgcpc2vabf,001,fugatuna_21
bgcpc2vabf,101,niroguna_93
bgcpc2vabf,314,pekikala_43
bgcpc2vabf,111,fekerepe_86
zo9p9en4n3,011,bihetofu_24
zo9p9en4n3,110,kopomemu_66
zo9p9en4n3,010,lonagevo_40
zo9p9en4n3,100,vasodaso_67
zo9p9en4n3,214,riseluko_24
zo9p9en4n3,001,huguveto_41
